0.1,3265,39,1153,197,4418,236,0.949290932531156
0.25,2728,26,1039,86,3767,112,0.9711265790152102
0.5,1810,26,707,43,2517,69,0.9733178654292344
0.75,906,12,354,21,1260,33,0.974477958236659
0.9,365,2,139,11,504,13,0.9748549323017408
